Name,Brand,URL,Image,Score/Users
Y  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Y_Eau_de_Parfum,https://pimages.parfumo.de/240/113427_img-1770-yves-saint-laurent-y-eau-de-parfum_240.jpg,7.5 2797
A*Men Pure Havane,Mugler,https://www.parfumo.com/Perfumes/mugler/AMen_Pure_Havane,https://pimages.parfumo.de/240/11781_p05w4x_amen_pure_havane_240.jpg,8.3 1333
Allure Homme Sport  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Allure_Homme_Sport_Eau_de_Toilette,https://pimages.parfumo.de/240/205_ch546ifa6u_240.jpg,7.8 1943
Bleu de Chanel  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Bleu_de_Chanel,https://pimages.parfumo.de/240/8982_img-9371-chanel-bleu_de_chanel_eau_de_toilette_240.jpg,7.6 2310
Enigma pour Homme  Parfum,Roja Parfums,https://www.parfumo.com/Perfumes/Roja_Parfums/Enigma_pour_Homme_Creation_E_pour_Homme_Parfum,https://pimages.parfumo.de/240/28770_img-6375-roja_parfums-enigma_pour_homme_creation_e_pour_homme_parfum_240.jpg,8.7 883
Bentley for Men Intense,Bentley,https://www.parfumo.com/Perfumes/Bentley/Bentley_for_Men_Intense,https://pimages.parfumo.de/240/21560_img-5466-bentley-bentley-for-men-intense_240.jpg,7.6 2217
masculin Pluriel,Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/masculin-pluriel,https://pimages.parfumo.de/240/48414_img-1217-maison-francis-kurkdjian-masculin-pluriel_240.jpg,8.2 1367
Boss Bottled  Eau de Toilette,Hugo Boss,https://www.parfumo.com/Perfumes/Hugo_Boss/Boss_Bottled_Eau_de_Toilette,https://pimages.parfumo.de/240/252_img-5562-hugo-boss-boss-bottled-eau-de-toilette_240.jpg,7.3 2974
Emporio Armani - Stronger With You Absolutely,Giorgio Armani,https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-absolutely,https://pimages.parfumo.de/240/146241_img-9049-giorgio-armani-emporio-armani-stronger-with-you-absolutely_240.jpg,8.3 1248
Platinum Égoïste  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Platinum_Egoiste_Eau_de_Toilette,https://pimages.parfumo.de/240/829_img-8745-chanel-platinum-egoiste-eau-de-toilette_240.jpg,8.1 1433
Light Blue pour Homme Eau Intense,Dolce & Gabbana,https://www.parfumo.com/Perfumes/Dolce_Gabbana/Light_Blue_pour_Homme_Eau_Intense,https://pimages.parfumo.de/240/86314_ona04c_light_blue_pour_homme_eau_intense_240.jpg,7.6 2237
Gentleman Givenchy  Eau de Parfum,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/Gentleman_Givenchy_Eau_de_Parfum,https://pimages.parfumo.de/240/104311_img-9037-givenchy-gentleman_givenchy_eau_de_parfum_240.jpg,8.1 1434
Beau de Jour  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/beau-de-jour-eau-de-parfum,https://pimages.parfumo.de/240/120173_img-4533-tom-ford-beau-de-jour_240.jpg,8.2 1332
9pm,Afnan Perfumes,https://www.parfumo.com/Perfumes/Afnan_Perfumes/9pm,https://pimages.parfumo.de/240/134766_img-1774-afnan-perfumes-9pm_240.jpg,8.0 1508
Spicebomb,Viktor & Rolf,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb,https://pimages.parfumo.de/240/16426_ycz6er_spicebomb_240.jpg,7.8 1798
Interlude Man,Amouage,https://www.parfumo.com/Perfumes/Amouage/Interlude_Man,https://pimages.parfumo.de/240/19118_img-6471-amouage-interlude-man_240.jpg,7.8 1739
