Name,Brand,URL,Image,Score/Users
Wūlóng Chá  Extrait de Parfum,Nishane,https://www.parfumo.com/Perfumes/Nishane/Wlng_Cha,https://pimages.parfumo.de/240/56932_img-2975-nishane-wulong-cha_240.jpg,8.2 2421
Angélique Noire,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Angelique_Noire,https://pimages.parfumo.de/240/1761_img-4138-guerlain-angelique-noire_240.jpg,8.6 1763
Nefs,Nishane,https://www.parfumo.com/Perfumes/Nishane/Nefs,https://pimages.parfumo.de/240/128600_img-9784-nishane-nefs_240.jpg,8.9 1367
XXI: Art Deco - Blonde Amber,Clive Christian,https://www.parfumo.com/Perfumes/Clive_Christian/xxi-art-deco-blonde-amber,https://pimages.parfumo.de/240/169035_img-6593-clive-christian-noble-xxi-art-deco-blonde-amber_240.jpg,8.9 1246
Fucking Fabulous  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Fucking_Fabulous,https://pimages.parfumo.de/240/94428_img-8570-tom_ford-fucking_fabulous_240.jpg,8.0 2827
Tuscan Leather  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Tuscan_Leather_Eau_de_Parfum,https://pimages.parfumo.de/240/3843_img-5500-tom_ford-tuscan_leather_eau_de_parfum_240.jpg,8.3 2179
Salam,Anfas,https://www.parfumo.com/Perfumes/Anfas/Salam,https://pimages.parfumo.de/240/45855_img-3382-anfas_anfass-salam_240.jpg,8.7 1450
Khamrah,Lattafa / لطافة,https://www.parfumo.com/Perfumes/Lattafa/khamrah,https://pimages.parfumo.de/240/170634_img-7789-lattafa-khamrah_240.jpg,8.1 2468
№ 02 - L'Air du Désert Marocain  Eau de Toilette Intense,Tauer Perfumes,https://www.parfumo.com/Perfumes/Tauer/no-02-l-air-du-desert-marocain-eau-de-toilette-intense,https://pimages.parfumo.de/240/2529_img-5743-tauer_perfumes-no_02__l_air_du_desert_marocain_240.jpg,8.5 1717
Arabians Tonka,Montale,https://www.parfumo.com/Perfumes/Montale/arabians-tonka,https://pimages.parfumo.de/240/132833_img-1900-montale-arabians-tonka_240.jpg,8.0 2632
By the Fireplace,Maison Margiela,https://www.parfumo.com/Perfumes/Maison_Margiela/by-the-fireplace,https://pimages.parfumo.de/240/62178_img-4231-maison-margiela-replica-by-the-fireplace_240.jpg,7.9 2846
Cuir Béluga,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/cuir-beluga,https://pimages.parfumo.de/240/3381_img-4472-guerlain-cuir-beluga_240.jpg,8.5 1661
Black Afgano  Extrait de Parfum,Nasomatto,https://www.parfumo.com/Perfumes/Nasomatto/Black_Afgano,https://pimages.parfumo.de/240/3307_img-1411-nasomatto-black_afgano_extrait_de_parfum_240.jpg,8.1 2294
Gris Charnel  Eau de Parfum,bdk Parfums,https://www.parfumo.com/Perfumes/bdk_Parfums/gris-charnel-eau-de-parfum,https://pimages.parfumo.de/240/133334_img-4442-bdk-parfums-gris-charnel_240.jpg,8.3 2016
Ganymede  Eau de Parfum,Marc-Antoine Barrois,https://www.parfumo.com/Perfumes/Marc_Antoine_Barrois/ganymede-eau-de-parfum,https://pimages.parfumo.de/240/125953_img-9503-marc-antoine-barrois-ganymede-eau-de-parfum_240.jpg,8.1 2396
Gentle Fluidity (Silver),Maison Francis Kurkdjian,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/gentle-fluidity-silver,https://pimages.parfumo.de/240/121487_img-2159-maison_francis_kurkdjian-gentle_fluidity_240.jpg,8.2 2141
Pegasus,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Pegasus,https://pimages.parfumo.de/240/19487_img-5204-parfums_de_marly-pegasus_240.jpg,8.0 2580
Amber Star,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/amber-star,https://pimages.parfumo.de/240/33185_img-5376-xerjoff-shooting_stars__amber_star_240.jpg,8.6 1404
Détour Noir,Al Haramain / الحرمين,https://www.parfumo.com/Perfumes/Al_Haramain/Detour_Noir,https://pimages.parfumo.de/240/120638_img-2385-al_haramain-detour_noir_240.jpg,8.2 1832
Pacific Rock Moss,Goldfield & Banks,https://www.parfumo.com/Perfumes/Goldfield__Banks/Pacific_Rock_Moss,https://pimages.parfumo.de/240/81632_img-8838-goldfield-banks-pacific-rock-moss_240.jpg,8.1 1882
