Name,Brand,URL,Image,Score/Users
Hypnotic Poison  Eau de Toilette,Dior,https://www.parfumo.com/Perfumes/Dior/Hypnotic_Poison,https://pimages.parfumo.de/240/675_img-3383-dior-hypnotic-poison-eau-de-toilette_240.jpg,8.0 2027
Mon Guerlain  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Mon_Guerlain,https://pimages.parfumo.de/240/84431_ptdmns_mon_guerlain_240.jpg,8.2 1724
Delina  Eau de Parfum,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina,https://pimages.parfumo.de/240/85027_img-2874-parfums-de-marly-delina-eau-de-parfum_240.jpg,8.1 1768
Delina Exclusif,Parfums de Marly,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Delina_Exclusif,https://pimages.parfumo.de/240/106186_img-3896-parfums-de-marly-delina-exclusif_240.jpg,8.3 1148
Shalimar  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/Shalimar,https://pimages.parfumo.de/240/1759_dwpnqz_shalimar_eau_de_parfum_240.jpg,8.0 1459
Black Orchid  Eau de Parfum,Tom Ford,https://www.parfumo.com/Perfumes/Tom_Ford/Black_Orchid_Eau_de_Parfum,https://pimages.parfumo.de/240/2366_u7ceyn_black_orchid_240.jpg,7.6 2114
L'Instant Magic  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Instant_Magic,https://pimages.parfumo.de/240/1746_img-5649-guerlain-l-instant-magic-eau-de-parfum_240.jpg,8.2 1200
L'Interdit  Eau de Parfum Rouge,Givenchy,https://www.parfumo.com/Perfumes/Givenchy/l-interdit-eau-de-parfum-rouge,https://pimages.parfumo.de/240/151908_img-9377-givenchy-l-interdit-2021-eau-de-parfum-rouge_240.jpg,8.4 989
Coco Mademoiselle  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Coco_Mademoiselle,https://pimages.parfumo.de/240/37_img-8051-chanel-coco_mademoiselle_eau_de_parfum_240.jpg,7.8 1666
Portrait of a Lady  Eau de Parfum,Editions de Parfums Frédéric Malle,https://www.parfumo.com/Perfumes/Editions_de_Parfum_Frederic_Malle/portrait-of-a-lady-eau-de-parfum,https://pimages.parfumo.de/240/10407_img-9893-editions_de_parfums_frederic_malle-portrait_of_a_lady_240.jpg,8.1 1269
For Her  Eau de Toilette,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/For_Her_Eau_de_Toilette,https://pimages.parfumo.de/240/9661_img-9154-narciso_rodriguez-for_her_eau_de_toilette_240.jpg,7.8 1444
For Her Pure Musc  Eau de Parfum,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-pure-musc-eau-de-parfum,https://pimages.parfumo.de/240/120104_img-8748-narciso_rodriguez-for_her_pure_musc_240.jpg,8.0 1272
Rouge Smoking  Eau de Parfum,bdk Parfums,https://www.parfumo.com/Perfumes/bdk_Parfums/rouge-smoking-eau-de-parfum,https://pimages.parfumo.de/240/116063_img-6298-bdk_parfums-rouge_smoking_240.jpg,8.0 1186
Sunshine Woman,Amouage,https://www.parfumo.com/Perfumes/Amouage/Sunshine,https://pimages.parfumo.de/240/51932_img-3752-amouage-sunshine_woman_240.jpg,8.1 1125
Alien  Eau de Parfum,Mugler,https://www.parfumo.com/Perfumes/mugler/Alien,https://pimages.parfumo.de/240/26_img-5640-mugler-alien-eau-de-parfum_240.jpg,7.4 2127
Libre  Eau de Parfum Intense,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum-intense,https://pimages.parfumo.de/240/141844_img-7841-yves-saint-laurent-libre-eau-de-parfum-intense_240.jpg,8.2 1023
Coco  Eau de Parfum,Chanel,https://www.parfumo.com/Perfumes/Chanel/Coco,https://pimages.parfumo.de/240/1686_zqcvz5_coco_eau_de_parfum_240.jpg,8.4 839
Vanilla | 28,Kayali,https://www.parfumo.com/Perfumes/Kayali/Vanilla__28,https://pimages.parfumo.de/240/118088_img-1366-kayali-vanilla__28_240.jpg,8.2 1031
Dior Addict (2014)  Eau de Parfum,Dior,https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014,https://pimages.parfumo.de/240/46904_fppqad_dior_addict_2014_240.jpg,8.4 820
Coromandel  Eau de Toilette,Chanel,https://www.parfumo.com/Perfumes/Chanel/Les_Exclusifs_de_Chanel__Coromandel,https://pimages.parfumo.de/240/1687_qqoweo_coromandel_240.jpg,8.3 837
Casamorati - Dama Bianca  Eau de Parfum,XerJoff,https://www.parfumo.com/Perfumes/Xerjoff/Dama_Bianca,https://pimages.parfumo.de/240/19038_img-7441-xerjoff-casamorati-dama-bianca-eau-de-parfum_240.jpg,8.1 971
Kenzo Amour,Kenzo,https://www.parfumo.com/Perfumes/Kenzo/Kenzo_Amour,https://pimages.parfumo.de/240/937_img-3437-kenzo-kenzo_amour_240.jpg,8.2 891
Narciso  Eau de Parfum Poudrée,Narciso Rodriguez,https://www.parfumo.com/Perfumes/Narciso_Rodriguez/Narciso_Eau_de_Parfum_Poudree,https://pimages.parfumo.de/240/70116_img-6417-narciso_rodriguez-narciso_eau_de_parfum_poudree_240.jpg,7.9 1074
Libre  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/libre-eau-de-parfum,https://pimages.parfumo.de/240/130526_img-9981-yves-saint-laurent-libre_240.jpg,7.5 1484
Love Don't Be Shy  Perfume,Kilian,https://www.parfumo.com/Perfumes/Kilian/Love,https://pimages.parfumo.de/240/2788_img-8698-kilian-love-don-t-be-shy-perfume_240.jpg,7.8 1221
L'Heure Bleue  Eau de Parfum,Guerlain,https://www.parfumo.com/Perfumes/Guerlain/L_Heure_Bleue,https://pimages.parfumo.de/240/3432_img-7115-guerlain-l-heure-bleue-eau-de-parfum_240.jpg,8.3 752
Cinéma  Eau de Parfum,Yves Saint Laurent,https://www.parfumo.com/Perfumes/Yves_Saint_Laurent/Cinema_Eau_de_Parfum,https://pimages.parfumo.de/240/825_img-1261-yves_saint_laurent-cinema_eau_de_parfum_240.jpg,8.0 998
Duchessa,Gritti,https://www.parfumo.com/Perfumes/Gritti/duchessa,https://pimages.parfumo.de/240/145266_img-6599-gritti-duchessa_240.jpg,8.4 688
La Belle,Jean Paul Gaultier,https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/La_Belle,https://pimages.parfumo.de/240/128731_img-6606-jean-paul-gaultier-la-belle_240.jpg,8.0 957
